set,pokemon,nr,lang,note1,note2,online_price
SVP,Flamara,167,de,,,
SVP,Aquana,168,de,,,
SVP,Blitza,169,de,,,
SVP,Folipurba,170,de,,,
SVP,Glaziola,171,de,,,
SVP,Feelinara,172,de,,,
MA,Team Aquas Kyogre,3,de,non-holo,,4.6
SHF,Kyogre,21,de,,,0.05
CEL,Kyogre,3,de,Holo,,0.22
CEC,Kyogre,53,de,non-holo,,0.55
CRZ,Kyogre V,37,en,,,1.23
SVP,Kyogre Ex,178,de,,,
ASR,Welsar,36,de,non-holo,,0.04
BRS,Karadonis,81,de,non-holo,,0.04
BRS,Magmar,19,de,non-holo,,0.03
LOR,Ariados,113,en,non-holo,,0.13
SWSH,Galar-Lavados,284,de,,,
SVI,Lahmus,43,it,holo,,0.09
MEW,Aerodactyl,142,de,holo,,0.18
OBF,Bronzel,144,en,Reverse,,0.14
PAR,Absol,113,de,non-holo,,0.04
SVI,Mamolida,48,it,Reverse,,0.12
PAR,Elezeba,62,de,Reverse,,0.08
TEF,Tohaido,43,de,Reverse,,0.11
SSP,Kecleon,150,de,Reverse,,0.1
SVP,Magneton,159,de,,,
SFA,Kriechflügel,26,de,Reverse,,0.11
SFA,Eisenfalter,9,de,non-holo,,0.04
TWM,Girafarig,83,de,non-holo,,0.04
MEW,Bisaflor Ex,198,de,,,110.06
MEW,Turtok Ex,200,de,,,95.36
BKT,Hundemon Ex,153,de,,,33.71
BKT,Mega Firnontor Ex,156,de,,,36.97
TEF,Fuegro Ex,187,de,,,2.14
EVO,Tauboss Ex,104,de,,,10.43
SUM,Lapras Gx,139,de,,,7.85
TEU,Fuegro Gx,188,de,,,14.87
TEU,Kobalium Gx,106,de,,,3.61
TEU,Pantimos Gx,67,de,,,2.29
TEU,Ampharos Gx,43,de,,,4.59
TEU,Fuegro Gx,97,de,,,2.56
SUM,Fuegro Gx,27,de,,,2.47
SUM,Mantidea Gx,15,de,,,1.4
SUM,Solgaleo Gx,89,de,,,2.69
SUM,Silvarro Gx,12,de,,,2.97
UNM,Flegmon & Enton Gx,35,de,,,55.6
